city,lat,lng
Tokyo,35.6897,139.6922
Jakarta,-6.2146,106.8451
Delhi,28.66,77.23
Mumbai,18.9667,72.8333
Manila,14.6,120.9833
Shanghai,31.1667,121.4667
Seoul,37.56,126.99
Mexico City,19.4333,-99.1333
Dallas,44.9222,-123.3131
Zemlya Bunge,74.8983,142.105
Starorybnoye,72.7666,104.8
Agapa,71.4504,89.25
Tukchi,57.367,139.5
Numto,63.6667,71.3333
Nord,81.7166,-17.8
Timmiarmiut,62.5333,-42.2167
Nordvik,74.0165,111.51
Los Angeles,34.1139,-118.4068
Amau,-10.0426,148.565
Kalima,-2.5096,26.43
Al Qunfudhah,19.1264,41.0789
Lusanga,-5.5829,16.5167
Kraulshavn,74.121,-57.0674
Androka,-25.0219,44.0749
San Francisco,37.7562,-122.443
Llica,-19.8496,-68.25
Calenga,-11.3196,16.2
Dikson,73.5,80.517
Caluula,11.967,50.75
Tournavista,-8.9322,-74.7052
Puerto Pinasco,-22.64,-57.79
Tchitado,-17.3196,13.92
Yakossi,5.617,23.3167
Tmassah,26.3666,15.8
Manyoni,-5.7796,34.9
Woomera,-31.1496,136.8
Tasiusaq,73.369,-56.0598
Sherlovaya Gora,50.5306,116.3006
Tsavo,-2.9828,38.4666
Nizhneyansk,71.4333,136.0666
Toconao,-23.1829,-68.0166
Balsadero Rio Verde,-52.65,-71.4666
Kanyato,-4.4565,30.2614
Kulusuk,65.5666,-37.1833
Denver,39.7621,-104.8759
Tura,64.2833,100.25
Prejmer,45.7205,25.7715
San Quintin,30.4837,-115.95
Ouadda,8.0671,22.4
Yarkovo,54.8056,82.5989
Gandasamou,14.1938,6.0669
Linda,56.6128,44.0972
Sanmucha,34.5637,102.828
Sabonkafi,14.6416,8.7449
Taoyan,34.7706,103.7903
Russko-Vysotskoye,59.7014,29.9431
Homocea,46.1375,27.2412
Cookshire,45.3729,-71.672
Staryy Cherek,43.475,43.8611
Bghaghza,35.4542,-5.6125
Azitan,34.7101,103.3152
Nicoadala,-17.6077,36.8197
Sidi Bettach,33.5667,-6.8936
Yangjiagetai,36.7124,110.1864
Ban Kamphuan,9.3782,98.4209
Dovhe,48.3675,23.2869
Psygansu,43.4125,43.8056
Karibib,-21.939,15.853
Toubout,14.3387,5.5951
Ban Wang Kalang,15.1436,98.4498
Zholymbet,51.7502,71.7099
Tuzla,44,28.6333
Nova Maiachka,46.6033,33.2283
Supsekh,44.8611,37.3667
Outerbat,32.1433,-5.3503
Velyki Komiaty,48.2386,22.9789
Laba,14.6187,5.9375
Levokumka,44.2297,43.1481
Chicago,41.8373,-87.6862
Masindi Port,1.7004,32.0699
Hukou,36.1371,110.4104
Ivanivka,48.2325,38.9525
Olovyannaya,50.95,115.5666
Baili,35.0333,107.389
Qarqaraly,49.4249,75.4649
Khomutovo,52.4758,104.4156
Sarmakovo,43.7397,43.1894
Putina,-15.47,-69.43
Happy Valley,53.3396,-60.4467
Borcea,44.3294,27.7315
Oldeani,-3.35,35.55
Ban Banlang,15.2255,101.9112
Ban Huai Mai,18.4217,100.1403
Grabovo,53.3794,45.0619
Boston,42.3188,-71.0846
Big Bear Lake,34.2429,-116.8951
Titusville,41.6273,-79.6699
St. Clair,42.8262,-82.493
Austevoll,60.0378,5.2683
Bratslav,48.8147,28.9447
Grayson,38.3317,-82.9371
Stara Vyzhivka,51.4396,24.4373
Red Oak,41.0141,-95.2248
Cave Springs,36.2701,-94.2225
Peal de Becerro,37.9,-3.1167
Acorizal,-15.205,-56.3658
Wadesboro,34.9645,-80.0746
Frei,63.0625,7.8031
Arcabuco,5.7544,-73.4375
Edwinstowe,53.16,-1.07
Ripley,34.7321,-88.9444
Drebach,50.6733,13.0181
Altenstadt,48.1667,10.1167
Sioux Lookout,50.1,-91.9167
Zarat,33.6679,10.3505
Divina Pastora,-10.6889,-37.1478
Peyrolles-en-Provence,43.6456,5.585
Sevelen,47.1204,9.4857
Arzberg,50.0572,12.1864
Ardore,38.1833,16.1667
Hawkinsville,32.2964,-83.4814
Forsyth,33.0347,-83.9381
Toronto,43.7417,-79.3733
Camogli,44.3484,9.1558
Bulverde,29.7744,-98.4364
Alto del Carmen,-28.9336,-70.4623
Waeng Yai,15.9624,102.5419
Pacy-sur-Eure,49.0158,1.3819
Bolton,42.4362,-71.6073
Kirchberg in Tirol,47.45,12.3167
Guglionesi,41.9167,14.9167
Hareid,62.3642,6.0014
Pottenstein,49.7722,11.4114
Znamenskoye,57.1278,73.8244
Komyshuvakha,47.7155,35.5241
Longarone,46.2667,12.3
Dom Cavati,-19.3739,-42.1058
Odelzhausen,48.3167,11.1833
Santa Maria do Salto,-16.2489,-40.1489
Paxtonia,40.3166,-76.7884
Ochamchire,42.71,41.47
Waynesville,37.8207,-92.22
Ayora,39.0583,-1.0572
Naie,43.4253,141.8828
Kappel-Grafenhausen,48.2922,7.7414
Cerda,37.9,13.8167
Mount Carmel,36.562,-82.6618
Waldems,50.2503,8.3133
Borkum,53.5881,6.6697
Parazinho,-5.2228,-35.8378
Oettingen in Bayern,48.95,10.5833
Kings Point,40.8162,-73.7407
Bear Valley Springs,35.1775,-118.646
London,42.9836,-81.2497
London,37.1175,-84.0767
Guangzhou,23.1288,113.259
Beijing,39.905,116.3914
Cairo,30.0561,31.2394
New York,40.6943,-73.9249
Moscow,55.7558,37.6178
Bangkok,13.75,100.5167
Buenos Aires,-34.5997,-58.3819
Shenzhen,22.535,114.054
Dhaka,23.7289,90.3944
Lagos,6.45,3.4
Istanbul,41.01,28.9603
Karachi,24.86,67.01
Bangalore,12.9699,77.598
Tehran,35.7,51.4167
Kinshasa,-4.3233,15.3081
Ho Chi Minh City,10.8167,106.6333
Rio de Janeiro,-22.9083,-43.1964
Nanyang,32.9987,112.5292
Baoding,38.8671,115.4845
Chennai,13.0825,80.275
Chengdu,30.66,104.0633
Lahore,31.5497,74.3436
Paris,48.8566,2.3522
London,51.5072,-0.1275
Linyi,35.0606,118.3425
Tianjin,39.1467,117.2056
Shijiazhuang,38.0422,114.5086
Zhoukou,33.625,114.6418
Lima,-12.05,-77.0333
